country,iso3,population,areaSqKm,popDensity,roadsMappedKm,geofabrikExtract,popPerExtract,areaPerExtract,buildingsMapped,numberHotTasks
Cayman Islands ,CYM,45436,262,173.42,980.5483185,0,0,0,7085,0
Central African Rep. ,CAF,4303356,622984,6.91,37323.67306,0,0,0,0,67
Chad ,TCD,9944201,1284000,7.74,38248.4878,10.7,929364.5794,120000,105113,20
Chile ,CHL,16134219,756950,21.31,177941.1962,92,175371.9457,8227.717391,183345,8
China ,CHN,1313973713,9596960,136.92,1634533.579,256,5132709.816,37488.125,421803,10
Christmas Island,CXR,2072,135,15.35,136.4326773,0,0,0,616,0
Cocos (Keeling) Islands,CCK,596,14,42.57,37.80712948,0,0,0,0,0
Colombia ,COL,43593035,1138910,38.28,166501.2065,79,551810.5696,14416.58228,303993,8
Comoros ,COM,690948,2170,318.41,1386.852633,0,0,0,8507,0
"Congo, Dem. Rep. ",COD,62660551,2345410,26.72,216227.6681,76,824480.9342,30860.65789,1012066,106
"Congo, Repub. of the ",COG,3702314,342000,10.83,33639.86638,0,0,0,7228,2
Cook Islands ,COK,21388,240,89.12,421.6761148,0,0,0,602,0
Costa Rica ,CRI,4075261,51100,79.75,34575.26002,0,0,0,37635,0
Cote d'Ivoire (Ivory Coast),CIV,17654843,322460,54.75,66816.76546,14.6,1209235.822,22086.30137,95023,14
Croatia ,HRV,4494749,56542,79.49,92706.60936,80,56184.3625,706.775,398213,3
Cuba ,CUB,11382820,110860,102.68,84155.03609,18.7,608706.9519,5928.342246,53430,0
Cyprus ,CYP,784301,9250,84.79,21480.57384,9.3,84333.44086,994.6236559,17967,0
Czech Republic ,CZE,10235455,78866,129.78,217975.2238,621,16482.21417,126.9983897,4195166,0
Denmark ,DNK,5450661,43094,126.48,139784.0756,198,27528.59091,217.6464646,797840,0
Djibouti ,DJI,486530,23000,21.15,3444.270798,0,0,0,5922,0
Dominica ,DMA,68910,754,91.39,1374.752069,0,0,0,30297,1
Dominican Republic ,DOM,9183984,48730,188.47,38349.90139,0,0,0,44799,1
East Timor ,0,1062777,15007,70.82,0,0,0,0,13113,0
Ecuador ,ECU,13547510,283560,47.78,90172.96226,46.4,291972.1983,6111.206897,395542,21
Egypt ,EGY,78887007,1001450,78.77,101700.4661,29.9,2638361.438,33493.31104,46782,0
El Salvador ,SLV,6822378,21040,324.26,21548.28554,0,0,0,7091,2
Equatorial Guinea ,GNQ,540109,28051,19.25,7949.948959,0,0,0,2306,1
Eritrea ,ERI,4786994,121320,39.46,6416.37626,0,0,0,5401,0
Estonia ,EST,1324333,45226,29.28,56213.0759,61,21710.37705,741.4098361,675323,0
Ethiopia ,ETH,74777981,1127127,66.34,109765.2742,19.4,3854535.103,58099.3299,96169,10
Falkland Islands (Malvinas),FLK,2932,12200,0.24,1897.087214,0,0,0,2647,0
Faroe Islands ,FRO,47246,1399,33.77,1024.651397,1.2,39371.66667,1165.833333,677,0
